inds,pop,degree,weighted.closeness,psis,bact.rich,bact.rich.2,bact.rich.notrare,fungi.rich,fungi.rich.2,fungi.rich.notrare
Q116,Q,14,0.0954250597106819,0.530205708285605,35.0338189474671,29.9966244171376,40,22.4039853195516,15.7401716005198,23
Q119,Q,12,0.112584316852838,0.646726923444063,NA,NA,6,6.99999388204579,6.6783282708378104,7
Q31,Q,13,0.0968372036396202,0.577435924971363,42.2464443062151,34.3756023542079,50,17.3828041084984,12.1172206842049,19
Q36,Q,8,0.121265275000164,0.817102352997327,15.7615971341347,14.2588093133806,16,10.9999999999804,10.7387746165887,11
Q55,Q,6,0.136451994792353,0.390764270714013,21.3314069441882,19.3703383089624,22,16.3649342448723,9.12311962377389,17
Q74,Q,5,0.120804848237678,0.640411440435281,40.4504762536312,33.3484091043856,46,17.6196815465448,11.1795446902473,18
Q77,Q,9,0.127578704670508,0.601895833333333,NA,NA,8,12.4138106363525,7.61351447174362,13
Q89,Q,5,0.125567112362574,0.368887671821306,35.7608580633967,31.2633155501316,39,10.876859833485,7.51368810510151,11
Q94,Q,7,0.131241459978117,0.742068155784651,48.4837013575821,37.6212978109508,63,15.5281902632187,10.6887728779248,16
S104,S,7,0.0593403029555047,0.492802608342879,21.68318689415,19.0553666139371,22,NA,2.99962421781642,3
S114,S,2,0.0588699574329234,0.222834610061092,NA,NA,8,2.99023686437515,2.49975960348925,3
S116,S,2,0.055839689298862,0.211126682416953,18.5678251677704,15.4928062889518,21,NA,11.8125784392852,12
S142,S,4,0.0581409372500321,0.271743115215731,16.22890331695,14.0848083305588,18,NA,4.64119012923471,5
S143,S,4,0.0580165067987499,0.323955708285605,8.94909713566574,8.72332786736784,9,NA,3.80508027145343,4
S144,S,5,0.0559676601682182,0.772838810137457,NA,8.94368147460553,9,6.97843464468277,5.66055444354161,7
S248,S,5,0.0606192009759758,0.470918241695303,11.7222831122334,10.5701513416799,12,NA,NA,3
S27,S,7,0.0332871480935899,0.275500525009546,NA,NA,4,NA,NA,4
S29,S,3,0.0745769726189049,0.407661631347843,23.9972134595887,23.3654815227972,24,NA,NA,1
S64,S,6,0.0441080505166422,0.394541762122948,31.1206767621051,24.7484298285027,40,10.9986909481038,8.76940374612679,11
S65,S,6,0.0564220866318746,0.515132290473463,NA,3.99999936030154,4,7,5.82715461907667,7
S68,S,3,0.0741566577726989,0.371472842688049,14.6990578533148,13.5026552688301,15,NA,NA,NA
S78,S,6,0.0601771309922143,0.624552083333333,NA,8,8,NA,3,3
S88,S,4,0.0556914899142134,0.336566115406644,28.7915184545975,24.7640493404262,30,NA,NA,3
S89,S,6,0.0549208562106421,0.505528959049255,26.921288571805,25.2532088845093,27,12.9997036063628,10.647716842867,13
S90,S,7,0.0568254681741505,0.574941103474609,7.69123763918291,5.92370984875842,14,NA,4.76119468019495,5
S92,S,4,0.0553820919660878,0.462699921248568,10.9790195287512,10.5465104717142,11,NA,NA,NA
S97,S,7,0.0612905358363448,0.508631729667812,32.1300296441219,26.2355229476923,37,7.86335973472533,4.90954766871539,8
V08,V,2,0.121233487119532,0.213942088409872,14.8312087895675,13.3437647944903,15,5.8854608156425,4.40363022119954,6
V13,V,8,0.0802957803149285,0.360164128397376,13.9577100914784,13.4580384685732,14,10.8156798544988,7.72251021266621,11
V19,V,8,0.0800865271233779,0.252537058731646,35.0091594083427,30.3213311431424,37,8.9999819201344,8.3662654603561,9
V20,V,9,0.0612191845237657,0.21499709075289,30.0502789656178,26.8774353820323,31,8.0572675464832,3.82891574356173,11
V23,V,7,0.0809954659885615,0.25509356451109,52.3093945608563,39.8209543586596,64,15.7231937892772,9.88978992335269,17
V25,V,5,0.079141431537257,0.210907763199,NA,11.9761096498958,12,NA,3.98404608465458,4
V29,V,12,0.0832642785422673,0.256708997188379,13.2880453460401,10.005694156993,24,22.4497461753636,10.8554855942101,38
V30,V,8,0.0804092430252352,0.296354108091221,24.9198031754923,23.7950943584745,25,7.32731675479276,4.47824389758739,8
V32,V,4,0.109361783677804,0.294899308809747,10.5257033851845,9.29067009797436,11,17.3190677398372,7.9346223085164604,26
V44,V,11,0.0557329155463818,0.390437031396439,8.04074357205725,6.72817734856679,9,7.87101074200566,7.11649003122123,8
V46,V,4,0.0894012558906477,0.368145306154327,17.6715330287719,16.2201126251359,18,7.60697613759001,5.07099456776856,8
